District Name,Block/Tehsil Name,water_body_name,latitude_dec,longitude_dec
NORTH EAST,YAMUNA VIHAR,NA,28.702222,77.279722
SOUTH,SAKET,CHHATARPUR,28.506111,77.180556
SOUH WEST,KAPAS HERA,DDA JHOD,28.545278,77.033056
SOUH WEST,KAPAS HERA,JHOD ,28.534444,77.032778
SOUH WEST,NAJAFGARH,NA,28.594444,76.939167
EAST,MAYUR VIHAR,NA,28.615,77.323889
NORTH,NARELA,NA,28.816111,76.97
NORTH WEST,KANJHAWLA,NA,28.697222,76.996667
NORTH WEST,KANJHAWLA,NA,28.746389,76.966944
NORTH WEST,KANJHAWLA,NA,28.778611,76.962222
NORTH WEST,KANJHAWLA,NA,28.788056,76.988889
NORTH WEST,KANJHAWLA,Near Sitala Mata Mandir,28.805833,76.961944
NORTH WEST,KANJHAWLA,Near Ambedkar Chaupal,28.8,76.966944
NORTH WEST,KANJHAWLA,NA,28.739444,76.965833
NORTH,NARELA,NA,28.810556,77.012222
NORTH,NARELA,NA,28.803611,76.995
NORTH,NARELA,Village Sanoth,28.814167,77.070833
NORTH,NARELA,Village Bankner near Veterinary Hospital,28.849444,77.0725
NORTH,NARELA,Village Bankner Dada Mai Temple,28.848056,77.0725
NORTH WEST,ROHINI,NA,28.704722,77.020278
NORTH,NARELA,Village Lampur Johadi,28.845556,77.056389
NORTH,NARELA,NA,28.799167,77.036944
NORTH,NARELA,NA,28.788056,77.026667
NORTH,NARELA,Village Ghoga MPCC Building ,28.830833,77.049722
NORTH WEST,ROHINI,Mata Mandir,28.716667,77.028333
NORTH,NARELA,Village Lampur Near Mohalla Clinic ,28.852222,77.064444
NORTH,NARELA,NA,28.793889,77.036111
SOUH WEST,NAJAFGARH,Near temple and open gym ,28.549167,76.898611
NORTH WEST,ROHINI,Mata Mansa Devi Mandir,28.708611,77.023333
NORTH WEST,ROHINI,NA,28.709167,77.018056
NORTH WEST,ROHINI,Near Mndir Dhaka Talab,28.704167,77.029167
NORTH,NARELA,Near Shiv Mandir,28.801944,77.024722
NORTH,NARELA,NA,28.770833,77.050556
WEST,PUNJABI BAGH,Shiv Mandir,28.6725,76.996389
NORTH WEST,KANJHAWLA,NA,28.77,77.005278
NORTH,NARELA,Village Barwala Water Body,28.755556,77.069722
NORTH,ALIPUR,Shahbad Daulatpur Vacant Land,28.749444,77.106389
NORTH WEST,KANJHAWLA,Near Shamshan Ghat,28.771111,76.9925
NORTH,NARELA,NA,28.768611,77.041389
NORTH WEST,ROHINI,NA,28.712222,77.045
NORTH,NARELA,Village Bankner Well ,28.852778,77.076111
NORTH,NARELA,Village Bankner Rambala Well,28.853056,77.078889
NORTH,NARELA,Village Lampur Aashriya waala,28.849167,77.059722
NORTH,NARELA,NA,28.802778,77.035278
NORTH,NARELA,NA,28.798611,77.040556
NORTH,NARELA,Near Balmiki Hospital,28.776111,77.046667
NORTH,NARELA,Near Shiv Mandir,28.805556,76.998056
NORTH,NARELA,NA,28.794722,77.000833
NORTH,NARELA,NA,28.766944,77.027778
WEST,PUNJABI BAGH,Back Side of PRIMARY SCHOOL,28.679167,76.966111
WEST,PUNJABI BAGH,CNG Pump ,28.674722,76.961389
NORTH WEST,KANJHAWLA,NA,28.754444,77.003611
WEST,PUNJABI BAGH,Shani Mandir ,28.686667,76.975278
NORTH WEST,KANJHAWLA,NA,28.768333,76.995278
NORTH,ALIPUR,Village Singhola Near Stone Market,28.839722,77.119444
NORTH,ALIPUR,Village Singhola,28.843611,77.121389
NORTH,ALIPUR,Ram Sarovar Pond,28.798611,77.135833
NORTH,NARELA,Village Dariya Purkalan Ambedkar Stadium,28.812222,77.007778
WEST,PUNJABI BAGH,Near GH SIX PASCHIM VIHAR,28.66,77.085833
WEST,PUNJABI BAGH,Near Ramdev Mandir Water Pound,28.6675,77.017778
WEST,PUNJABI BAGH,near bhagat singh park pond ,28.642778,77.015278
WEST,PUNJABI BAGH,near jhimar chaupal,28.655556,77.039444
WEST,PUNJABI BAGH,Shani Mandir ,28.674167,76.999722
NORTH,NARELA,NA,28.783611,77.001667
WEST,PUNJABI BAGH,Power House ,28.679444,76.983889
NORTH WEST,KANJHAWLA,Samadhi Sadh Maharaj,28.768056,77.001389
NORTH,NARELA,Village Prehladpur Banger Water Body,28.753056,77.078889
NORTH,NARELA,Village Barwala Water Body,28.758056,77.065
NORTH WEST,KANJHAWLA,NA,28.734167,77.027778
NORTH WEST,KANJHAWLA,NA,28.736944,77.046667
